,timestampAti,username,eventType,eventData,project_name,focusedComponent,currentFile,PSIPath,editorLine,editorColumn,"('task',)"
0,2025-03-10T11:41:12.016-04:00,IdeState,Active,Popup,*,-1,-1,,,,
1,2025-03-10T11:41:13.160-04:00,IdeState,Active,Popup,*,-1,-1,,,,
2,2025-03-10T11:41:14.200-04:00,IdeState,Active,Project,*,-1,-1,,,,
3,2025-03-10T11:41:15.203-04:00,IdeState,Active,Project,*,-1,-1,,,,
4,2025-03-10T11:41:16.213-04:00,IdeState,Active,Project,*,-1,-1,,,,
5,2025-03-10T11:41:17.223-04:00,IdeState,Inactive,,*,-1,-1,,,,
6,2025-03-10T11:41:18.232-04:00,IdeState,Inactive,,*,-1,-1,,,,
7,2025-03-10T11:41:19.233-04:00,IdeState,Inactive,,*,-1,-1,,,,
8,2025-03-10T11:41:20.234-04:00,IdeState,Active,Project,*,-1,-1,,,,
9,2025-03-10T11:41:21.235-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
10,2025-03-10T11:41:22.237-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
11,2025-03-10T11:41:23.237-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
12,2025-03-10T11:41:24.237-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
13,2025-03-10T11:41:25.238-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
14,2025-03-10T11:41:26.238-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
15,2025-03-10T11:41:27.239-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
16,2025-03-10T11:41:28.241-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
17,2025-03-10T11:41:29.242-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
18,2025-03-10T11:41:30.243-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
19,2025-03-10T11:41:31.245-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
20,2025-03-10T11:41:32.259-04:00,IdeState,Inactive,,*,-1,-1,,,,
21,2025-03-10T11:41:33.260-04:00,IdeState,Inactive,,*,-1,-1,,,,
22,2025-03-10T11:41:34.262-04:00,IdeState,Inactive,,*,-1,-1,,,,
23,2025-03-10T11:41:35.262-04:00,IdeState,Inactive,,*,-1,-1,,,,
24,2025-03-10T11:41:36.264-04:00,IdeState,Inactive,,*,-1,-1,,,,
25,2025-03-10T11:41:37.265-04:00,IdeState,Active,Popup,*,-1,-1,,,,
26,2025-03-10T11:41:38.265-04:00,IdeState,Active,Popup,*,-1,-1,,,,
27,2025-03-10T11:41:39.268-04:00,IdeState,Active,Popup,*,-1,-1,,,,
28,2025-03-10T11:41:40.269-04:00,IdeState,Active,Popup,*,-1,-1,,,,
29,2025-03-10T11:41:49.170-04:00,IdeState,NoProject,,*,-1,-1,,,,
30,2025-03-10T11:41:50.644-04:00,IdeState,Active,Popup,*,-1,-1,,,,
31,2025-03-10T11:41:51.765-04:00,IdeState,Active,Project,*,-1,-1,,,,
32,2025-03-10T11:41:52.881-04:00,IdeState,Active,Project,*,-1,-1,,,,
33,2025-03-10T11:41:53.883-04:00,IdeState,Active,Project,*,-1,-1,,,,
34,2025-03-10T11:41:54.884-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
35,2025-03-10T11:41:55.885-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
36,2025-03-10T11:41:56.887-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
37,2025-03-10T11:41:57.890-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
38,2025-03-10T11:41:58.891-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
39,2025-03-10T11:41:59.893-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
40,2025-03-10T11:42:00.895-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
41,2025-03-10T11:42:01.896-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
42,2025-03-10T11:42:02.899-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
43,2025-03-10T11:42:03.901-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
44,2025-03-10T11:42:04.902-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
45,2025-03-10T11:42:05.902-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
46,2025-03-10T11:42:06.903-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
47,2025-03-10T11:42:07.905-04:00,IdeState,Active,Project,*,-1,-1,,,,
48,2025-03-10T11:42:08.905-04:00,IdeState,Active,Project,*,-1,-1,,,,
49,2025-03-10T11:42:09.907-04:00,IdeState,Active,Project,*,-1,-1,,,,
50,2025-03-10T11:42:10.909-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
51,2025-03-10T11:42:11.910-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
52,2025-03-10T11:42:12.911-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
53,2025-03-10T11:42:13.912-04:00,IdeState,Inactive,,*,-1,-1,,,,
54,2025-03-10T11:42:14.915-04:00,IdeState,Inactive,,*,-1,-1,,,,
55,2025-03-10T11:42:15.915-04:00,IdeState,Inactive,,*,-1,-1,,,,
56,2025-03-10T11:42:16.916-04:00,IdeState,Inactive,,*,-1,-1,,,,
57,2025-03-10T11:42:17.918-04:00,IdeState,Inactive,,*,-1,-1,,,,
58,2025-03-10T11:42:18.931-04:00,IdeState,Inactive,,*,-1,-1,,,,
59,2025-03-10T11:42:19.932-04:00,IdeState,Inactive,,*,-1,-1,,,,
60,2025-03-10T11:42:20.943-04:00,IdeState,Inactive,,*,-1,-1,,,,
61,2025-03-10T11:42:21.954-04:00,IdeState,Inactive,,*,-1,-1,,,,
62,2025-03-10T11:42:22.956-04:00,IdeState,Inactive,,*,-1,-1,,,,
63,2025-03-10T11:42:23.963-04:00,IdeState,Inactive,,*,-1,-1,,,,
64,2025-03-10T11:42:24.964-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
65,2025-03-10T11:42:25.968-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
66,2025-03-10T11:42:26.974-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
67,2025-03-10T11:42:27.986-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
68,2025-03-10T11:42:28.999-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
