,date,timestamp,fileName,fileHashCode,documentHashCode,fragment,userId,testMode,program,chosenTask,programmingLanguage
0,2025-03-10T13:20:49.923-04:00,0,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here",3,ON,1111111,-1,python
1,2025-03-10T13:21:07.540-04:00,0,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here",3,ON,1111111,max_3,python
2,2025-03-10T13:21:07.774-04:00,16,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
",3,ON,1111111,max_3,python
3,2025-03-10T13:21:07.801-04:00,21,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
p",3,ON,1111111,max_3,python
4,2025-03-10T13:21:07.837-04:00,22,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
pr",3,ON,1111111,max_3,python
5,2025-03-10T13:21:07.850-04:00,23,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
pri",3,ON,1111111,max_3,python
6,2025-03-10T13:21:07.863-04:00,24,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
prin",3,ON,1111111,max_3,python
7,2025-03-10T13:21:08.473-04:00,25,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print",3,ON,1111111,max_3,python
8,2025-03-10T13:21:08.479-04:00,39,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print(",3,ON,1111111,max_3,python
9,2025-03-10T13:21:08.746-04:00,40,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print()",3,ON,1111111,max_3,python
10,2025-03-10T13:21:08.752-04:00,44,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print(')",3,ON,1111111,max_3,python
11,2025-03-10T13:21:08.843-04:00,45,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('')",3,ON,1111111,max_3,python
12,2025-03-10T13:21:08.937-04:00,50,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('h')",3,ON,1111111,max_3,python
13,2025-03-10T13:21:09.066-04:00,59,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('he')",3,ON,1111111,max_3,python
14,2025-03-10T13:21:09.183-04:00,78,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('hel')",3,ON,1111111,max_3,python
15,2025-03-10T13:21:09.537-04:00,99,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('hell')",3,ON,1111111,max_3,python
16,2025-03-10T13:21:09.677-04:00,151,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('hello')",3,ON,1111111,max_3,python
17,2025-03-10T13:21:09.689-04:00,162,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('hello ')",3,ON,1111111,max_3,python
18,2025-03-10T13:21:09.707-04:00,163,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('hello w')",3,ON,1111111,max_3,python
19,2025-03-10T13:21:09.730-04:00,167,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('hello wo')",3,ON,1111111,max_3,python
20,2025-03-10T13:21:09.809-04:00,171,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('hello wor')",3,ON,1111111,max_3,python
21,2025-03-10T13:21:09.902-04:00,215,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('hello worl')",3,ON,1111111,max_3,python
22,2025-03-10T13:21:12.453-04:00,262,max_3.py,80608,157152889,"# Write code for the max_3 task in this file

# Write your code here
print('hello world')",3,ON,1111111,max_3,python
