,timestampAti,username,eventType,eventData,project_name,focusedComponent,currentFile,PSIPath,editorLine,editorColumn,"('task',)"
0,2025-03-13T16:56:48.674-04:00,IdeState,Active,Editor,branch_coverage.py,3,43,,,,
1,2025-03-13T16:56:49.677-04:00,IdeState,Active,Editor,branch_coverage.py,3,43,,,,
2,2025-03-13T16:56:50.679-04:00,IdeState,Active,Editor,branch_coverage.py,3,43,,,,
3,2025-03-13T16:56:51.681-04:00,IdeState,Active,Project,*,-1,-1,,,,
4,2025-03-13T16:56:52.682-04:00,IdeState,Active,Project,*,-1,-1,,,,
5,2025-03-13T16:56:53.684-04:00,IdeState,Active,Project,*,-1,-1,,,,
6,2025-03-13T16:56:54.686-04:00,IdeState,Active,tasktracker,*,-1,-1,,,,
7,2025-03-13T16:56:55.687-04:00,IdeState,Active,Project,*,-1,-1,,,,
8,2025-03-13T16:56:56.689-04:00,IdeState,Active,Project,*,-1,-1,,,,
9,2025-03-13T16:56:57.692-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
10,2025-03-13T16:56:58.731-04:00,IdeState,Active,Project,*,-1,-1,,,,
11,2025-03-13T16:56:59.732-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
12,2025-03-13T16:57:00.736-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
13,2025-03-13T16:57:01.736-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
14,2025-03-13T16:57:02.737-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
15,2025-03-13T16:57:03.739-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
16,2025-03-13T16:57:04.739-04:00,IdeState,Active,Dialog,*,-1,-1,,,,
17,2025-03-13T16:57:05.740-04:00,IdeState,Active,Project,*,-1,-1,,,,
18,2025-03-13T16:57:06.741-04:00,IdeState,Active,Project,*,-1,-1,,,,
19,2025-03-13T16:57:07.743-04:00,IdeState,Active,Project,*,-1,-1,,,,
20,2025-03-13T16:57:08.748-04:00,IdeState,Active,Editor,branch_coverage.py,2,22,,,,
21,2025-03-13T16:57:09.749-04:00,IdeState,Active,Editor,branch_coverage.py,2,22,,,,
22,2025-03-13T16:57:10.750-04:00,IdeState,Active,Editor,statement_coverage.py,0,0,,,,
23,2025-03-13T16:57:11.752-04:00,IdeState,Active,Project,statement_coverage.py,0,0,,,,
24,2025-03-13T16:57:12.753-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
25,2025-03-13T16:57:13.755-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
26,2025-03-13T16:57:14.756-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
27,2025-03-13T16:57:15.757-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
28,2025-03-13T16:57:16.758-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
29,2025-03-13T16:57:17.760-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
30,2025-03-13T16:57:18.761-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
31,2025-03-13T16:57:19.763-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
32,2025-03-13T16:57:20.766-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
33,2025-03-13T16:57:21.767-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
34,2025-03-13T16:57:22.770-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
35,2025-03-13T16:57:23.783-04:00,IdeState,Inactive,,*,-1,-1,,,,
36,2025-03-13T16:57:24.787-04:00,IdeState,Inactive,,*,-1,-1,,,,
37,2025-03-13T16:57:25.792-04:00,IdeState,Inactive,,*,-1,-1,,,,
38,2025-03-13T16:57:26.795-04:00,IdeState,Inactive,,*,-1,-1,,,,
39,2025-03-13T16:57:27.796-04:00,IdeState,Inactive,,*,-1,-1,,,,
40,2025-03-13T16:57:28.798-04:00,IdeState,Inactive,,*,-1,-1,,,,
41,2025-03-13T16:57:29.799-04:00,IdeState,Inactive,,*,-1,-1,,,,
42,2025-03-13T16:57:30.801-04:00,IdeState,Inactive,,*,-1,-1,,,,
43,2025-03-13T16:57:31.801-04:00,IdeState,Inactive,,*,-1,-1,,,,
44,2025-03-13T16:57:32.811-04:00,IdeState,Inactive,,*,-1,-1,,,,
45,2025-03-13T16:57:33.814-04:00,IdeState,Inactive,,*,-1,-1,,,,
46,2025-03-13T16:57:34.814-04:00,IdeState,Inactive,,*,-1,-1,,,,
47,2025-03-13T16:57:35.816-04:00,IdeState,Inactive,,*,-1,-1,,,,
48,2025-03-13T16:57:36.817-04:00,IdeState,Inactive,,*,-1,-1,,,,
49,2025-03-13T16:57:37.818-04:00,IdeState,Inactive,,*,-1,-1,,,,
50,2025-03-13T16:57:39.264-04:00,IdeState,Inactive,,*,-1,-1,,,,
51,2025-03-13T16:57:40.266-04:00,IdeState,Inactive,,*,-1,-1,,,,
52,2025-03-13T16:57:41.278-04:00,IdeState,Inactive,,*,-1,-1,,,,
53,2025-03-13T16:57:42.281-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
54,2025-03-13T16:57:43.282-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
55,2025-03-13T16:57:44.284-04:00,IdeState,Inactive,,*,-1,-1,,,,
56,2025-03-13T16:57:45.287-04:00,IdeState,Inactive,,*,-1,-1,,,,
57,2025-03-13T16:57:46.288-04:00,IdeState,Inactive,,*,-1,-1,,,,
58,2025-03-13T16:57:47.294-04:00,IdeState,Inactive,,*,-1,-1,,,,
59,2025-03-13T16:57:48.311-04:00,IdeState,Inactive,,*,-1,-1,,,,
60,2025-03-13T16:57:49.334-04:00,IdeState,Inactive,,*,-1,-1,,,,
61,2025-03-13T16:57:50.336-04:00,IdeState,Inactive,,*,-1,-1,,,,
62,2025-03-13T16:57:51.337-04:00,IdeState,Inactive,,*,-1,-1,,,,
63,2025-03-13T16:57:52.344-04:00,IdeState,Inactive,,*,-1,-1,,,,
64,2025-03-13T16:57:53.346-04:00,IdeState,Inactive,,*,-1,-1,,,,
65,2025-03-13T16:57:54.348-04:00,IdeState,Inactive,,*,-1,-1,,,,
66,2025-03-13T16:57:55.348-04:00,IdeState,Inactive,,*,-1,-1,,,,
67,2025-03-13T16:57:56.350-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
68,2025-03-13T16:57:57.491-04:00,IdeState,Active,Dialog,path_coverage.py,0,0,,,,
69,2025-03-13T17:42:39.009-04:00,IdeState,Inactive,,*,-1,-1,,,,
70,2025-03-13T17:42:40.181-04:00,IdeState,Inactive,,*,-1,-1,,,,
71,2025-03-13T17:42:41.213-04:00,IdeState,Inactive,,*,-1,-1,,,,
72,2025-03-13T17:42:43.431-04:00,IdeState,NoProject,,*,-1,-1,,,,
73,2025-03-13T17:42:44.624-04:00,IdeState,Active,Popup,*,-1,-1,,,,
74,2025-03-13T17:42:46.930-04:00,IdeState,Active,Popup,*,-1,-1,,,,
75,2025-03-13T17:42:48.194-04:00,IdeState,Active,Popup,*,-1,-1,,,,
76,2025-03-13T17:42:49.211-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
77,2025-03-13T17:42:50.392-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
78,2025-03-13T17:42:51.401-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
79,2025-03-13T17:42:52.403-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
80,2025-03-13T17:42:53.404-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
81,2025-03-13T17:42:54.406-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
82,2025-03-13T17:42:55.452-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
83,2025-03-13T17:42:56.453-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
84,2025-03-13T17:42:57.454-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
85,2025-03-13T17:42:58.456-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
86,2025-03-13T17:42:59.457-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
87,2025-03-13T17:43:00.489-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
88,2025-03-13T17:43:01.492-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
89,2025-03-13T17:43:02.493-04:00,IdeState,Active,Popup,path_coverage.py,0,0,,,,
90,2025-03-13T17:43:03.495-04:00,IdeState,Active,Popup,path_coverage.py,0,0,,,,
91,2025-03-13T17:43:04.059-04:00,Action,CloseProject,Editor,path_coverage.py,0,0,,,,
92,2025-03-13T17:43:04.503-04:00,IdeState,Active,Editor,path_coverage.py,0,0,,,,
93,2025-03-13T17:43:05.983-04:00,IdeState,NoProject,,*,-1,-1,,,,
