Unnamed: 0,date,timestamp,fileName,fileHashCode,documentHashCode,fragment,userId,testMode,program,chosenTask,programmingLanguage,language,timestampAti,eventType,eventData
0,2025-03-10T11:42:07.679-04:00,0,pies_13055.py,13055,918990294,"# Write code for the pies task in this file

# Write your code here",1,ON,6666666,1,python,python,,,
1,2025-03-10T11:42:55.491-04:00,0,pies_13055.py,13055,918990294,"# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
2,2025-03-10T11:42:55.595-04:00,22,pies_13055.py,13055,918990294,"h# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
3,2025-03-10T11:42:55.959-04:00,26,pies_13055.py,13055,918990294,"he# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
4,2025-03-10T11:42:56.039-04:00,40,pies_13055.py,13055,918990294,"h# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
5,2025-03-10T11:42:57.867-04:00,44,pies_13055.py,13055,918990294,"# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
6,2025-03-10T11:42:57.960-04:00,49,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
p
# Write your code here",1,ON,6666666,pies,python,python,,,
7,2025-03-10T11:42:58.038-04:00,73,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
pr
# Write your code here",1,ON,6666666,pies,python,python,,,
8,2025-03-10T11:42:58.140-04:00,83,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
pri
# Write your code here",1,ON,6666666,pies,python,python,,,
9,2025-03-10T11:42:58.180-04:00,93,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
prin
# Write your code here",1,ON,6666666,pies,python,python,,,
10,2025-03-10T11:42:58.627-04:00,103,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print
# Write your code here",1,ON,6666666,pies,python,python,,,
11,2025-03-10T11:42:58.631-04:00,114,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(
# Write your code here",1,ON,6666666,pies,python,python,,,
12,2025-03-10T11:42:59.683-04:00,115,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print()
# Write your code here",1,ON,6666666,pies,python,python,,,
13,2025-03-10T11:43:00.153-04:00,171,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(:)
# Write your code here",1,ON,6666666,pies,python,python,,,
14,2025-03-10T11:43:00.426-04:00,180,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print()
# Write your code here",1,ON,6666666,pies,python,python,,,
15,2025-03-10T11:43:00.431-04:00,188,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print("")
# Write your code here",1,ON,6666666,pies,python,python,,,
16,2025-03-10T11:43:00.659-04:00,189,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print("""")
# Write your code here",1,ON,6666666,pies,python,python,,,
17,2025-03-10T11:43:00.798-04:00,208,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I"")
# Write your code here",1,ON,6666666,pies,python,python,,,
18,2025-03-10T11:43:00.977-04:00,241,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I "")
# Write your code here",1,ON,6666666,pies,python,python,,,
19,2025-03-10T11:43:01.056-04:00,258,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I w"")
# Write your code here",1,ON,6666666,pies,python,python,,,
20,2025-03-10T11:43:01.154-04:00,281,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wr"")
# Write your code here",1,ON,6666666,pies,python,python,,,
21,2025-03-10T11:43:01.222-04:00,304,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wro"")
# Write your code here",1,ON,6666666,pies,python,python,,,
22,2025-03-10T11:43:01.282-04:00,327,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wrot"")
# Write your code here",1,ON,6666666,pies,python,python,,,
23,2025-03-10T11:43:01.355-04:00,350,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wrote"")
# Write your code here",1,ON,6666666,pies,python,python,,,
24,2025-03-10T11:43:01.542-04:00,380,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wrote "")
# Write your code here",1,ON,6666666,pies,python,python,,,
25,2025-03-10T11:43:01.672-04:00,397,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wrote c"")
# Write your code here",1,ON,6666666,pies,python,python,,,
26,2025-03-10T11:43:01.755-04:00,422,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wrote co"")
# Write your code here",1,ON,6666666,pies,python,python,,,
27,2025-03-10T11:43:01.916-04:00,445,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wrote cod"")
# Write your code here",1,ON,6666666,pies,python,python,,,
28,2025-03-10T11:43:02.094-04:00,468,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wrote code"")
# Write your code here",1,ON,6666666,pies,python,python,,,
29,2025-03-10T11:43:05.689-04:00,488,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wrote code!"")
# Write your code here",1,ON,6666666,pies,python,python,,,
30,2025-03-10T11:46:19.797-04:00,488,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I wrote code!"")
# Write your code here",1,ON,6666666,pies,python,python,,,
31,2025-03-10T11:46:20.494-04:00,574,pies_13055.py,13055,918990294,"# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
32,2025-03-10T11:46:20.724-04:00,583,pies_13055.py,13055,918990294,"# Write code for the pies task in this file

# Write your code here
",1,ON,6666666,pies,python,python,,,
33,2025-03-10T11:46:23.804-04:00,588,pies_13055.py,13055,918990294,"# Write code for the pies task in this file

# Write your code here
print(""I wrote code!"")",1,ON,6666666,pies,python,python,,,
34,2025-03-10T11:42:07.679-04:00,0,pies_13055.py,13055,918990294,"# Write code for the pies task in this file

# Write your code here",1,ON,6666666,1,python,python,,,
35,2025-03-10T11:42:55.491-04:00,0,pies_13055.py,13055,918990294,"# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
36,2025-03-10T11:42:55.595-04:00,22,pies_13055.py,13055,918990294,"h# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
37,2025-03-10T11:42:55.959-04:00,26,pies_13055.py,13055,918990294,"he# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
38,2025-03-10T11:42:56.039-04:00,40,pies_13055.py,13055,918990294,"h# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
39,2025-03-10T11:42:57.867-04:00,44,pies_13055.py,13055,918990294,"# Write code for the pies task in this file

# Write your code here",1,ON,6666666,pies,python,python,,,
40,2025-03-10T11:42:57.960-04:00,49,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
p
# Write your code here",1,ON,6666666,pies,python,python,,,
41,2025-03-10T11:42:58.038-04:00,73,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
pr
# Write your code here",1,ON,6666666,pies,python,python,,,
42,2025-03-10T11:42:58.140-04:00,83,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
pri
# Write your code here",1,ON,6666666,pies,python,python,,,
43,2025-03-10T11:42:58.180-04:00,93,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
prin
# Write your code here",1,ON,6666666,pies,python,python,,,
44,2025-03-10T11:42:58.627-04:00,103,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print
# Write your code here",1,ON,6666666,pies,python,python,,,
45,2025-03-10T11:42:58.631-04:00,114,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(
# Write your code here",1,ON,6666666,pies,python,python,,,
46,2025-03-10T11:42:59.683-04:00,115,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print()
# Write your code here",1,ON,6666666,pies,python,python,,,
47,2025-03-10T11:43:00.153-04:00,171,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(:)
# Write your code here",1,ON,6666666,pies,python,python,,,
48,2025-03-10T11:43:00.426-04:00,180,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print()
# Write your code here",1,ON,6666666,pies,python,python,,,
49,2025-03-10T11:43:00.431-04:00,188,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print("")
# Write your code here",1,ON,6666666,pies,python,python,,,
50,2025-03-10T11:43:00.659-04:00,189,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print("""")
# Write your code here",1,ON,6666666,pies,python,python,,,
51,2025-03-10T11:43:00.798-04:00,208,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I"")
# Write your code here",1,ON,6666666,pies,python,python,,,
52,2025-03-10T11:43:00.977-04:00,241,pies_13055.py,13055,918990294,"# Write code for the pies task in this file
print(""I "")
# Write your code here",1,ON,6666666,pies,python,python,,,
