date,timestamp,fileName,fileHashCode,documentHashCode,fragment,userId,testMode,program,year,programExperienceYears,programExperienceMonths,chosenTask,programmingLanguage
2024-11-13T10:39:27.492-05:00,0,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here",3,ON,3,male,4,-1,-1,python
2024-11-13T10:39:50.918-05:00,0,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:51.022-05:00,29,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code heres",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:51.113-05:00,30,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code heresd",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:51.901-05:00,34,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code heresdd",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:51.987-05:00,45,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code heresd",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:52.129-05:00,49,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code heres",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:54.310-05:00,53,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:58.009-05:00,58,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:58.187-05:00,64,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
p",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:58.251-05:00,78,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
pr",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:58.352-05:00,88,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
pri",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:58.556-05:00,98,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
prin",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:58.882-05:00,108,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:58.889-05:00,118,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print(",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:59.369-05:00,119,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print()",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:59.375-05:00,135,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print(')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:59.533-05:00,136,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:59.549-05:00,147,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('h')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:39:59.583-05:00,148,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hg')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:00.168-05:00,154,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hge')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:00.328-05:00,193,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hg')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:00.485-05:00,207,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('h')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:00.789-05:00,221,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('he')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:00.847-05:00,258,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hel')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:00.911-05:00,272,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hell')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:01.021-05:00,283,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:01.248-05:00,297,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hellow')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:01.310-05:00,311,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hellow ')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:01.455-05:00,325,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hellow w')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:01.705-05:00,353,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hellow wo')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:01.831-05:00,382,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hellow w')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:01.968-05:00,396,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hellow ')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:02.113-05:00,410,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hellow')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:02.296-05:00,424,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:02.407-05:00,438,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello ')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:02.549-05:00,452,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello w')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:02.602-05:00,481,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello wo')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:02.728-05:00,490,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello wor')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:40:02.791-05:00,520,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello worl')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:31.623-05:00,534,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:32.119-05:00,589,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')
",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:32.129-05:00,640,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')
d",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:32.200-05:00,641,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')
dc",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:32.334-05:00,657,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')
dcs",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:32.827-05:00,668,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')
dcsd",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:32.994-05:00,679,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')
dcs",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:33.199-05:00,690,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')
dc",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:33.777-05:00,701,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')
d",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:41.462-05:00,716,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')
",3,ON,3,male,4,-1,brackets,python
2024-11-13T10:41:53.050-05:00,769,brackets.py,128586,737495084,"# Write code for the brackets task in this file

# Write your code here
print('hello world')
print('hello world')",3,ON,3,male,4,-1,brackets,python
