2024-10-13T17:10:11.021-04:00,Action,EditorEnter,Editor,pies.py,2,22
2024-10-13T17:10:11.451-04:00,IdeState,Active,Editor,pies.py,3,0
2024-10-13T17:10:12.456-04:00,IdeState,Active,Editor,pies.py,3,2
2024-10-13T17:10:13.456-04:00,IdeState,Active,Editor,pies.py,3,6
2024-10-13T17:10:14.472-04:00,IdeState,Active,Editor,pies.py,3,13
2024-10-13T17:10:15.472-04:00,IdeState,Active,Editor,pies.py,3,18
2024-10-13T17:10:16.473-04:00,IdeState,Active,Editor,pies.py,3,18
2024-10-13T17:10:17.474-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:18.475-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:19.475-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:20.476-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:21.477-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:22.503-04:00,IdeState,Active,Dialog,*,-1,-1
2024-10-13T17:10:23.504-04:00,IdeState,Active,Dialog,*,-1,-1
2024-10-13T17:10:24.506-04:00,IdeState,Active,Dialog,*,-1,-1
2024-10-13T17:10:25.508-04:00,IdeState,Active,Dialog,*,-1,-1
2024-10-13T17:10:26.508-04:00,IdeState,Active,Dialog,*,-1,-1
2024-10-13T17:10:27.510-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:28.512-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:29.514-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:10:30.515-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:31.517-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:32.519-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:33.521-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:34.522-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:35.523-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:10:36.526-04:00,IdeState,Active,tasktracker,*,-1,-1
2024-10-13T17:10:37.528-04:00,IdeState,Active,tasktracker,*,-1,-1
2024-10-13T17:10:38.528-04:00,IdeState,Active,tasktracker,*,-1,-1
2024-10-13T17:10:39.530-04:00,IdeState,Active,Editor,max_3.py,0,0
