2024-10-13T17:11:41.120-04:00,IdeState,Active,Editor,voting.py,3,18
2024-10-13T17:11:42.134-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:11:43.139-04:00,IdeState,Active,tasktracker,*,-1,-1
2024-10-13T17:11:44.142-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:11:45.144-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:11:46.146-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:11:47.228-04:00,IdeState,Active,Dialog,*,-1,-1
2024-10-13T17:11:48.230-04:00,IdeState,Active,Dialog,*,-1,-1
2024-10-13T17:11:49.232-04:00,IdeState,Active,Dialog,*,-1,-1
2024-10-13T17:11:50.233-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:29:20.524-04:00,IdeState,NoProject,,*,-1,-1
2024-10-13T17:29:21.951-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:23.225-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:29:24.226-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:29:25.231-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:26.235-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:27.237-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:28.247-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:29.250-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:30.251-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:31.253-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:32.256-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:33.258-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:34.260-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:35.261-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:36.263-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:37.266-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:38.267-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:38.503-04:00,Action,OpenFile,Popup,*,-1,-1
2024-10-13T17:29:39.269-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:40.276-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:41.278-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:42.287-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:43.288-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:44.290-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:45.291-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:46.293-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:47.293-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:48.409-04:00,IdeState,Active,Popup,*,-1,-1
2024-10-13T17:29:49.410-04:00,IdeState,NoProject,,*,-1,-1
2024-10-13T17:29:50.742-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:29:51.996-04:00,IdeState,Active,Project,*,-1,-1
2024-10-13T17:29:52.943-04:00,Action,SettingsEntryPoint,Popup,*,0,0
2024-10-13T17:29:53.176-04:00,IdeState,Active,Popup,*,0,0
2024-10-13T17:29:53.963-04:00,Action,WelcomeScreen.Plugins,,*,-1,-1
2024-10-13T17:29:55.213-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:29:56.226-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:29:57.229-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:29:58.231-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:29:59.232-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:00.233-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:01.236-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:02.238-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:03.239-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:04.240-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:05.242-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:06.243-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:07.245-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:08.246-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:09.269-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:10.270-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:11.272-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:12.273-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:13.274-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:14.277-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:15.279-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:16.281-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:17.283-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:18.284-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:19.286-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:20.288-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:21.290-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:22.291-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:23.293-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:24.294-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:25.303-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:26.304-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:30:27.304-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:28.305-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:29.308-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:30.309-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:31.311-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:32.312-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:33.314-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:34.316-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:35.317-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:36.318-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:37.320-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:38.321-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:39.324-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:40.324-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:41.325-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:42.327-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:43.329-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:44.329-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:45.331-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:46.332-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:47.334-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:48.337-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:49.344-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:50.345-04:00,IdeState,Active,Dialog,*,0,0
2024-10-13T17:30:51.505-04:00,IdeState,Active,Popup,*,0,0
2024-10-13T17:30:52.537-04:00,IdeState,Active,Popup,*,0,0
2024-10-13T17:30:53.539-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:30:54.541-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:30:55.541-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:30:56.542-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:30:57.543-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:30:58.543-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:30:59.545-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:00.545-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:01.546-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:02.547-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:03.547-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:04.549-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:05.549-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:06.551-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:07.553-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:08.554-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:09.556-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:10.557-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:11.602-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:12.602-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:13.603-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:14.606-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:15.607-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:16.677-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:17.697-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:18.704-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:19.715-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:20.745-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:21.748-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:22.749-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:23.750-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:24.751-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:25.751-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:26.752-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:27.754-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:28.755-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:29.756-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:30.757-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:31.757-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:32.759-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:33.761-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:34.762-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:35.763-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:36.763-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:37.790-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:38.804-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:39.805-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:40.806-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:41.807-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:42.809-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:43.810-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:44.812-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:45.813-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:46.814-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:47.815-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:48.816-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:49.817-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:50.818-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:51.820-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:52.821-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:53.821-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:54.822-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:55.823-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:56.825-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:57.825-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:58.827-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:31:59.829-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:32:00.830-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:32:01.833-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:32:02.834-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:32:03.835-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:32:04.836-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:32:05.837-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:32:06.838-04:00,IdeState,Inactive,,*,-1,-1
2024-10-13T17:32:07.841-04:00,IdeState,Inactive,,*,-1,-1
