date,timestamp,fileName,fileHashCode,documentHashCode,fragment,userId,testMode,program,year,programExperienceYears,programExperienceMonths,chosenTask,programmingLanguage
2024-11-13T09:44:42.398-05:00,0,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here",2,ON,2,male,4,-1,-1,python
2024-11-13T09:51:37.542-05:00,0,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:37.937-05:00,2249,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:37.947-05:00,2255,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
p",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:38.403-05:00,2256,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
po",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:38.627-05:00,2270,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
p",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:38.777-05:00,2281,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
pr",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:38.859-05:00,2292,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
pri",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:38.937-05:00,2303,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
prin",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:39.155-05:00,2314,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:39.162-05:00,2325,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print(",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:39.410-05:00,2326,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print()",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:39.418-05:00,2330,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print(')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:39.627-05:00,2331,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:39.718-05:00,2345,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('H')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:39.851-05:00,2354,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('He')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:40.199-05:00,2386,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Hel')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:40.484-05:00,2425,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Helo')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:40.624-05:00,2439,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Hel')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:40.775-05:00,2453,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Hell')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:40.925-05:00,2483,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Hello')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:41.073-05:00,2520,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Hello ')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:41.199-05:00,2534,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Hello W')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:41.265-05:00,2563,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Hello Wo')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:41.367-05:00,2593,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Hello Wor')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:41.543-05:00,2623,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Hello Worl')",2,ON,2,male,4,-1,pies,python
2024-11-13T09:51:43.829-05:00,2653,pies.py,128555,1357994500,"# Write code for the pies task in this file

# Write your code here
print('Hello World')",2,ON,2,male,4,-1,pies,python
