date,timestamp,fileName,fileHashCode,documentHashCode,fragment,userId,testMode,program,year,programExperienceYears,programExperienceMonths,chosenTask,programmingLanguage
2024-11-20T15:59:35.465-05:00,0,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here",6,ON,3,male,4,-1,-1,python
2024-11-20T15:59:58.021-05:00,0,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here",6,ON,3,male,4,-1,max_3,python
2024-11-20T15:59:58.329-05:00,496,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
",6,ON,3,male,4,-1,max_3,python
2024-11-20T15:59:58.532-05:00,501,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
p",6,ON,3,male,4,-1,max_3,python
2024-11-20T15:59:58.601-05:00,515,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
pr",6,ON,3,male,4,-1,max_3,python
2024-11-20T15:59:58.659-05:00,521,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
pri",6,ON,3,male,4,-1,max_3,python
2024-11-20T15:59:59.261-05:00,531,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin",6,ON,3,male,4,-1,max_3,python
2024-11-20T15:59:59.266-05:00,548,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:00.821-05:00,549,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin()",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:01.722-05:00,556,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin()
",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:02.764-05:00,588,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin()",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:02.770-05:00,593,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin("")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:03.031-05:00,594,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin("""")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:03.184-05:00,598,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""H"")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:03.336-05:00,610,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""He"")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:03.475-05:00,614,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""Hel"")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:03.632-05:00,618,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""Hell"")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:03.796-05:00,622,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""Hello"")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:03.895-05:00,626,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""Hello "")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:04.032-05:00,630,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""Hello W"")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:04.100-05:00,640,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""Hello Wo"")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:04.207-05:00,644,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""Hello Wor"")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:04.287-05:00,648,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""Hello Worl"")",6,ON,3,male,4,-1,max_3,python
2024-11-20T16:00:05.870-05:00,652,max_3.py,130102,715877508,"# Write code for the max_3 task in this file

# Write your code here
prin(""Hello World"")",6,ON,3,male,4,-1,max_3,python
